Report_ID,Report_Date,NIBRS_Code_Name,NIBRS_Crime_Against,Service_Area,NIBRS_Group,Zip_Code,DateTime
51476162304,2023-07-23,Prostitution,SOCIETY,CENTRAL,Prostitution Offenses,78207,2026-09-01
55713605663,2024-04-28,Welfare Fraud,PROPERTY,CENTRAL,Fraud Offenses,78207,2026-09-01
62016805018,2024-12-26,Wire Fraud,PROPERTY,CENTRAL,Fraud Offenses,78207,2026-09-01
71826053510,2026-07-23,Wire Fraud,PROPERTY,CENTRAL,Fraud Offenses,78207,2026-09-01
39848484770,2023-01-06,Murder & Nonnegligent Manslaughter,PERSON,EAST,Homicide Offenses,78208,2026-09-01
64063683563,2025-05-21,Pornography/Obscene Material,SOCIETY,NORTH,Pornography/Obscene Material,78209,2026-09-01
58497109494,2024-08-23,Pornography/Obscene Material,SOCIETY,EAST,Pornography/Obscene Material,78210,2026-09-01
50980479990,2023-06-09,Sexual Assault With An Object,PERSON,SOUTH,"Sex Offenses, Forcible",78210,2026-09-01
51764584164,2023-08-10,Stolen Property Offenses,PROPERTY,CENTRAL,Stolen Property Offenses,78210,2026-09-01
48749739964,2023-04-04,Arson,PROPERTY,SOUTH,Arson,78211,2026-09-01
62821538078,2025-02-17,Pornography/Obscene Material,SOCIETY,SOUTH,Pornography/Obscene Material,78211,2026-09-01
39632126995,2023-01-05,Arson,PROPERTY,CENTRAL,Arson,78212,2026-09-01
59842394050,2024-10-02,Assisting or Promoting Prostitution,SOCIETY,CENTRAL,Prostitution Offenses,78213,2026-09-01
49393824690,2023-05-09,Fondling,PERSON,CENTRAL,"Sex Offenses, Forcible",78213,2026-09-01
71233993927,2026-06-30,Fondling,PERSON,CENTRAL,"Sex Offenses, Forcible",78213,2026-09-01
65742625436,2025-09-06,Stolen Property Offenses,PROPERTY,CENTRAL,Stolen Property Offenses,78213,2026-09-01
43374585165,2023-02-25,Fondling,PERSON,SOUTH,"Sex Offenses, Forcible",78214,2026-09-01
51121076212,2023-06-26,Pornography/Obscene Material,SOCIETY,SOUTH,Pornography/Obscene Material,78214,2026-09-01
52309924675,2023-09-16,Welfare Fraud,PROPERTY,SOUTH,Fraud Offenses,78214,2026-09-01
72493550374,2026-08-28,Wire Fraud,PROPERTY,SOUTH,Fraud Offenses,78214,2026-09-01
70872121785,2026-06-04,Fondling,PERSON,DOWNTOWN,"Sex Offenses, Forcible",78215,2026-09-01
51429237102,2023-07-19,Fondling,PERSON,NORTH,"Sex Offenses, Forcible",78216,2026-09-01
61454758303,2024-12-10,Prostitution,SOCIETY,NORTH,Prostitution Offenses,78216,2026-09-01
56647379950,2024-06-09,Purchasing Prostitution,SOCIETY,NORTH,Prostitution Offenses,78216,2026-09-01
64294178993,2025-06-02,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78216,2026-09-01
68734072730,2026-02-27,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78216,2026-09-01
51035355431,2023-06-16,Embezzlement,PROPERTY,NORTH,Embezzlement,78217,2026-09-01
54172487496,2024-02-15,Fondling,PERSON,NORTH,"Sex Offenses, Forcible",78217,2026-09-01
53393748460,2023-12-13,Pornography/Obscene Material,SOCIETY,NORTH,Pornography/Obscene Material,78217,2026-09-01
53708948384,2024-01-10,Sexual Assault With An Object,PERSON,NORTH,"Sex Offenses, Forcible",78217,2026-09-01
65850584734,2025-09-08,Wire Fraud,PROPERTY,NORTH,Fraud Offenses,78217,2026-09-01
57517980866,2024-07-10,Fondling,PERSON,NORTH,"Sex Offenses, Forcible",78218,2026-09-01
64129714902,2025-05-25,Fondling,PERSON,EAST,"Sex Offenses, Forcible",78218,2026-09-01
51120074660,2023-06-26,Impersonation,PROPERTY,NORTH,Fraud Offenses,78218,2026-09-01
55756574141,2024-05-01,Stolen Property Offenses,PROPERTY,EAST,Stolen Property Offenses,78218,2026-09-01
69346817776,2026-03-22,Pocket-picking,PROPERTY,EAST,Larceny/Theft Offenses,78219,2026-09-01
60103900966,2024-10-18,Pornography/Obscene Material,SOCIETY,EAST,Pornography/Obscene Material,78219,2026-09-01
63624301058,2025-04-18,Pornography/Obscene Material,SOCIETY,EAST,Pornography/Obscene Material,78219,2026-09-01
41582245184,2023-02-08,Fondling,PERSON,EAST,"Sex Offenses, Forcible",78220,2026-09-01
54403640373,2024-02-26,Fondling,PERSON,EAST,"Sex Offenses, Forcible",78220,2026-09-01
63394518338,2025-03-30,Fondling,PERSON,EAST,"Sex Offenses, Forcible",78220,2026-09-01
66795250876,2025-10-19,Fondling,PERSON,EAST,"Sex Offenses, Forcible",78220,2026-09-01
63651803318,2025-04-21,Pornography/Obscene Material,SOCIETY,EAST,Pornography/Obscene Material,78220,2026-09-01
