63942887356,2025-05-11,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78210,2026-09-01
51316330030,2023-07-05,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78211,2026-09-01
55580211728,2024-04-19,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78211,2026-09-01
58531598512,2024-08-24,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78211,2026-09-01
63505794921,2025-04-08,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78211,2026-09-01
53587989904,2023-12-29,Weapon Law Violations,SOCIETY,CENTRAL,Weapon Law Violations,78212,2026-09-01
67795989569,2025-12-13,Weapon Law Violations,SOCIETY,DOWNTOWN,Weapon Law Violations,78212,2026-09-01
70929815702,2026-06-09,Weapon Law Violations,SOCIETY,DOWNTOWN,Weapon Law Violations,78212,2026-09-01
63652208033,2025-04-21,Weapon Law Violations,SOCIETY,CENTRAL,Weapon Law Violations,78213,2026-09-01
67484385286,2025-11-22,Weapon Law Violations,SOCIETY,NORTH,Weapon Law Violations,78213,2026-09-01
40031376320,2023-01-07,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78214,2026-09-01
51961483039,2023-08-21,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78214,2026-09-01
52969883514,2023-11-09,Weapon Law Violations,SOCIETY,NORTH,Weapon Law Violations,78216,2026-09-01
61418492266,2024-12-06,Weapon Law Violations,SOCIETY,NORTH,Weapon Law Violations,78216,2026-09-01
62192993382,2025-01-08,Weapon Law Violations,SOCIETY,NORTH,Weapon Law Violations,78216,2026-09-01
66118137037,2025-09-18,Weapon Law Violations,SOCIETY,NORTH,Weapon Law Violations,78216,2026-09-01
60389418762,2024-11-04,Weapon Law Violations,SOCIETY,NORTH,Weapon Law Violations,78217,2026-09-01
62351878393,2025-01-19,Weapon Law Violations,SOCIETY,NORTH,Weapon Law Violations,78217,2026-09-01
50949041626,2023-06-06,Weapon Law Violations,SOCIETY,EAST,Weapon Law Violations,78218,2026-09-01
56099473133,2024-05-16,Weapon Law Violations,SOCIETY,EAST,Weapon Law Violations,78218,2026-09-01
69229264014,2026-03-14,Weapon Law Violations,SOCIETY,EAST,Weapon Law Violations,78218,2026-09-01
70601298415,2026-05-22,Weapon Law Violations,SOCIETY,EAST,Weapon Law Violations,78219,2026-09-01
72419830864,2026-08-24,Weapon Law Violations,SOCIETY,EAST,Weapon Law Violations,78219,2026-09-01
49338949326,2023-05-03,Weapon Law Violations,SOCIETY,EAST,Weapon Law Violations,78220,2026-09-01
53672857037,2024-01-08,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78221,2026-09-01
50074494632,2023-06-17,Weapon Law Violations,SOCIETY,EAST,Weapon Law Violations,78223,2026-09-01
52519073373,2023-10-06,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78223,2026-09-01
56860065738,2024-06-14,Weapon Law Violations,SOCIETY,EAST,Weapon Law Violations,78223,2026-09-01
67527289801,2025-11-25,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78223,2026-09-01
70252755334,2026-05-02,Weapon Law Violations,SOCIETY,EAST,Weapon Law Violations,78223,2026-09-01
70525182748,2026-05-19,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78223,2026-09-01
40382195750,2023-01-10,Weapon Law Violations,SOCIETY,SOUTH,Weapon Law Violations,78224,2026-09-01
